date,open,high,low,close,volume,maturity
2024-10-11,4.069,4.118,4.061,4.0826,0,10y
2024-10-14,4.0826,4.1417,4.0826,4.1121,0,10y
2024-10-15,4.1,4.1,4.026,4.0336,0,10y
2024-10-16,4.038,4.043,3.995,4.0141,0,10y
2024-10-17,4.024,4.1,4.022,4.0906,0,10y
2024-10-18,4.091,4.118,4.065,4.0789,0,10y
2024-10-21,4.095,4.204,4.077,4.1877,0,10y
2024-10-22,4.194,4.222,4.166,4.2017,0,10y
2024-10-23,4.216,4.26,4.214,4.2336,0,10y
2024-10-24,4.248,4.248,4.182,4.2058,0,10y
2024-10-25,4.2,4.25,4.176,4.2399,0,10y
2024-10-28,4.276,4.3,4.232,4.2721,0,10y
2024-10-29,4.268,4.337,4.256,4.2681,0,10y
2024-10-30,4.248,4.304,4.198,4.2803,0,10y
2024-10-31,4.288,4.333,4.26,4.2824,0,10y
2024-11-01,4.289,4.39,4.224,4.3735,0,10y
2024-11-04,4.3735,4.3735,4.265,4.2968,0,10y
2024-11-05,4.293,4.366,4.265,4.2868,0,10y
2024-11-06,4.289,4.479,4.279,4.4413,0,10y
2024-11-07,4.428,4.453,4.312,4.3316,0,10y
2024-11-08,4.335,4.353,4.264,4.2985,0,10y
2024-11-11,4.2985,4.3472,4.2985,4.3355,0,10y
2024-11-12,4.33,4.443,4.314,4.4315,0,10y
2024-11-13,4.435,4.461,4.357,4.4452,0,10y
2024-11-14,4.461,4.483,4.386,4.4413,0,10y
2024-11-15,4.453,4.505,4.402,4.4414,0,10y
2024-11-18,4.443,4.491,4.41,4.4158,0,10y
2024-11-19,4.412,4.418,4.339,4.3883,0,10y
2024-11-20,4.398,4.438,4.388,4.4119,0,10y
2024-11-21,4.408,4.44,4.379,4.4218,0,10y
2024-11-22,4.418,4.43,4.383,4.4159,0,10y
2024-11-25,4.347,4.369,4.261,4.2654,0,10y
2024-11-26,4.291,4.324,4.273,4.2984,0,10y
2024-11-27,4.304,4.31,4.227,4.2498,0,10y
2024-11-28,4.2498,4.2498,4.2498,4.2498,0,10y
2024-11-29,4.252,4.254,4.17,4.1936,0,10y
2024-12-02,4.211,4.248,4.174,4.1878,0,10y
2024-12-03,4.199,4.238,4.165,4.2323,0,10y
2024-12-04,4.234,4.279,4.176,4.182,0,10y
2024-12-05,4.194,4.224,4.174,4.18,0,10y
2024-12-06,4.18,4.222,4.126,4.1491,0,10y
2024-12-09,4.153,4.205,4.136,4.1992,0,10y
2024-12-10,4.197,4.246,4.184,4.2283,0,10y
2024-12-11,4.226,4.277,4.201,4.2711,0,10y
2024-12-12,4.269,4.34,4.269,4.3258,0,10y
2024-12-13,4.32,4.407,4.312,4.3987,0,10y
2024-12-16,4.389,4.411,4.363,4.3947,0,10y
2024-12-17,4.395,4.442,4.375,4.3948,0,10y
2024-12-18,4.391,4.522,4.381,4.502,0,10y
2024-12-19,4.508,4.594,4.502,4.5682,0,10y
2024-12-20,4.556,4.566,4.486,4.5302,0,10y
2024-12-23,4.528,4.599,4.518,4.5906,0,10y
2024-12-24,4.5906,4.629,4.581,4.5867,0,10y
